COUNTRY,YEAR,Value,Source,Spending Type,Programme Type,Unit,Source URL
CAN,2010,9.7,Public,In cash spending,Total,Percentage of GDP,https://data-explorer.oecd.org/
CAN,2011,9.5,Public,In cash spending,Total,Percentage of GDP,https://data-explorer.oecd.org/
CAN,2012,9.6,Public,In cash spending,Total,Percentage of GDP,https://data-explorer.oecd.org/
CAN,2013,9.5,Public,In cash spending,Total,Percentage of GDP,https://data-explorer.oecd.org/
CAN,2014,9.5,Public,In cash spending,Total,Percentage of GDP,https://data-explorer.oecd.org/
CAN,2015,10.2,Public,In cash spending,Total,Percentage of GDP,https://data-explorer.oecd.org/
CAN,2016,10.4,Public,In cash spending,Total,Percentage of GDP,https://data-explorer.oecd.org/
CAN,2017,10.4,Public,In cash spending,Total,Percentage of GDP,https://data-explorer.oecd.org/
CAN,2018,10.4,Public,In cash spending,Total,Percentage of GDP,https://data-explorer.oecd.org/
CAN,2019,10.7,Public,In cash spending,Total,Percentage of GDP,https://data-explorer.oecd.org/
CAN,2020,11.8,Public,In cash spending,Total,Percentage of GDP,https://data-explorer.oecd.org/
CAN,2021,11.2,Public,In cash spending,Total,Percentage of GDP,https://data-explorer.oecd.org/
CAN,2022,10.1,Public,In cash spending,Total,Percentage of GDP,https://data-explorer.oecd.org/
