region,year,firm,household,government
CAN_AB,2000,0.763758,0.153163,0.083079
CAN_AB,2001,0.750825,0.156483,0.092692
CAN_AB,2002,0.709374,0.192104,0.098522
CAN_AB,2003,0.73079,0.184295,0.084915
CAN_AB,2004,0.739687,0.178373,0.08194
CAN_AB,2005,0.75322,0.169191,0.077589
CAN_AB,2006,0.738249,0.179616,0.082135
CAN_AB,2007,0.702701,0.200973,0.096326
CAN_AB,2008,0.71957,0.172355,0.108074
CAN_AB,2009,0.664857,0.18854,0.146603
CAN_AB,2010,0.683582,0.182775,0.133642
CAN_AB,2011,0.726443,0.155796,0.117762
CAN_AB,2012,0.735127,0.157318,0.107555
CAN_AB,2013,0.75096,0.157851,0.091189
CAN_AB,2014,0.754593,0.165682,0.079724
CAN_AB,2015,0.69027,0.20133,0.1084
CAN_AB,2016,0.652606,0.208652,0.138741
CAN_AB,2017,0.649554,0.21267,0.137776
CAN_AB,2018,0.665093,0.210472,0.124434
CAN_AB,2019,0.678526,0.199599,0.121874
CAN_AB,2020,0.630102,0.226459,0.143438
CAN_AB,2021,0.629783,0.25649,0.113728
CAN_AB,2022,0.664859,0.238243,0.096898
CAN_AB,2023,0.663012,0.227243,0.109745
CAN_AB,2024,0.630379,0.255886,0.113736
CAN_BC,2000,0.547946,0.285194,0.16686
CAN_BC,2001,0.552697,0.292782,0.154522
CAN_BC,2002,0.507886,0.344867,0.147246
CAN_BC,2003,0.496701,0.359706,0.143594
CAN_BC,2004,0.476264,0.379252,0.144484
CAN_BC,2005,0.463796,0.382536,0.153669
CAN_BC,2006,0.47006,0.384927,0.145013
CAN_BC,2007,0.456787,0.396264,0.14695
CAN_BC,2008,0.476752,0.369069,0.154179
CAN_BC,2009,0.46349,0.36138,0.175129
CAN_BC,2010,0.471521,0.352184,0.176294
CAN_BC,2011,0.497162,0.362004,0.140834
CAN_BC,2012,0.493393,0.359028,0.147579
CAN_BC,2013,0.487531,0.373211,0.139257
CAN_BC,2014,0.492165,0.368366,0.139469
CAN_BC,2015,0.441524,0.417396,0.14108
CAN_BC,2016,0.403655,0.462286,0.134059
CAN_BC,2017,0.409512,0.452749,0.13774
CAN_BC,2018,0.415573,0.434863,0.149563
CAN_BC,2019,0.481337,0.380775,0.137888
CAN_BC,2020,0.466742,0.386725,0.146533
CAN_BC,2021,0.442745,0.413499,0.143756
CAN_BC,2022,0.464769,0.39307,0.142161
CAN_BC,2023,0.492086,0.356636,0.151277
CAN_BC,2024,0.46404,0.353746,0.182213
CAN_MB,2000,0.636394,0.185643,0.177963
CAN_MB,2001,0.62334,0.198094,0.178566
CAN_MB,2002,0.601384,0.222752,0.175865
CAN_MB,2003,0.578066,0.239553,0.18238
CAN_MB,2004,0.568682,0.253977,0.177341
CAN_MB,2005,0.530098,0.276584,0.193317
CAN_MB,2006,0.51873,0.270743,0.210526
CAN_MB,2007,0.502993,0.27451,0.222497
CAN_MB,2008,0.512598,0.260905,0.226497
CAN_MB,2009,0.505573,0.271706,0.222722
CAN_MB,2010,0.513091,0.254894,0.232015
CAN_MB,2011,0.501794,0.271104,0.227102
CAN_MB,2012,0.498747,0.26927,0.231982
CAN_MB,2013,0.504723,0.28456,0.210716
CAN_MB,2014,0.542215,0.27428,0.183505
CAN_MB,2015,0.558736,0.249707,0.191557
CAN_MB,2016,0.533865,0.264217,0.201918
CAN_MB,2017,0.534418,0.283389,0.182192
CAN_MB,2018,0.552498,0.290663,0.156838
CAN_MB,2019,0.554266,0.297635,0.1481
CAN_MB,2020,0.507978,0.329328,0.162694
CAN_MB,2021,0.443438,0.397879,0.158683
CAN_MB,2022,0.448717,0.388337,0.162946
CAN_MB,2023,0.459133,0.342547,0.19832
CAN_MB,2024,0.454169,0.336297,0.209534
CAN_NB,2000,0.595521,0.201773,0.202706
CAN_NB,2001,0.520929,0.26438,0.214691
CAN_NB,2002,0.498567,0.299557,0.201875
CAN_NB,2003,0.510744,0.297521,0.191736
CAN_NB,2004,0.506538,0.293891,0.199571
CAN_NB,2005,0.498118,0.293523,0.208358
CAN_NB,2006,0.542852,0.259596,0.197551
CAN_NB,2007,0.48949,0.255329,0.255182
CAN_NB,2008,0.559994,0.257446,0.18256
CAN_NB,2009,0.515837,0.279607,0.204556
CAN_NB,2010,0.458104,0.285474,0.256422
CAN_NB,2011,0.425626,0.263278,0.311095
CAN_NB,2012,0.422608,0.305506,0.271886
CAN_NB,2013,0.452476,0.298523,0.249001
CAN_NB,2014,0.440608,0.294372,0.265021
CAN_NB,2015,0.465884,0.287392,0.246725
CAN_NB,2016,0.425463,0.293048,0.281489
CAN_NB,2017,0.456077,0.274368,0.269555
CAN_NB,2018,0.47075,0.265998,0.263252
CAN_NB,2019,0.479059,0.306201,0.21474
CAN_NB,2020,0.431746,0.33677,0.231484
CAN_NB,2021,0.40822,0.3941,0.19768
CAN_NB,2022,0.436708,0.378285,0.185007
CAN_NB,2023,0.44238,0.344511,0.21311
CAN_NB,2024,0.441225,0.362244,0.196531
CAN_NL,2000,0.650712,0.160399,0.188889
CAN_NL,2001,0.61992,0.186319,0.193761
CAN_NL,2002,0.561709,0.219567,0.218724
CAN_NL,2003,0.62559,0.229418,0.144992
CAN_NL,2004,0.663944,0.232131,0.103926
CAN_NL,2005,0.654501,0.226369,0.119131
CAN_NL,2006,0.614066,0.247884,0.138051
CAN_NL,2007,0.551412,0.286328,0.16226
CAN_NL,2008,0.564455,0.275726,0.159819
CAN_NL,2009,0.499528,0.293784,0.206688
CAN_NL,2010,0.50276,0.291594,0.205646
