region,year,corporate_tax_rate,personal_income_tax_rate,sales_tax_rate
CAN_AB,2007,0.226832,0.194321,0.039971
CAN_AB,2008,0.238418,0.187346,0.038882
CAN_AB,2009,0.227333,0.184868,0.037994
CAN_AB,2010,0.235873,0.179171,0.03587
CAN_AB,2011,0.25416,0.175086,0.035272
CAN_AB,2012,0.223458,0.174943,0.035064
CAN_AB,2013,0.251112,0.177496,0.034995
CAN_AB,2014,0.297356,0.177815,0.034768
CAN_AB,2015,0.306045,0.178901,0.034623
CAN_AB,2016,0.3146,0.180719,0.034399
CAN_AB,2017,0.341436,0.180248,0.033955
CAN_AB,2018,0.31548,0.180377,0.03357
CAN_AB,2019,0.239999,0.182106,0.03393
CAN_AB,2020,0.195524,0.184376,0.034527
CAN_AB,2021,0.198857,0.184696,0.035028
CAN_AB,2022,0.20184,0.18653,0.03523
CAN_AB,2023,0.186885,0.187563,0.035622
CAN_AB,2024,0.191985,0.187896,0.035676
CAN_BC,2007,0.249949,0.163191,0.077181
CAN_BC,2008,0.253736,0.159439,0.076541
CAN_BC,2009,0.245819,0.158863,0.076161
CAN_BC,2010,0.249423,0.156988,0.074416
CAN_BC,2011,0.26152,0.154482,0.073557
CAN_BC,2012,0.255749,0.155169,0.073545
CAN_BC,2013,0.264844,0.158153,0.072921
CAN_BC,2014,0.288868,0.160477,0.072637
CAN_BC,2015,0.3042,0.162039,0.073034
CAN_BC,2016,0.320192,0.165856,0.074146
CAN_BC,2017,0.342052,0.167362,0.0742
CAN_BC,2018,0.347162,0.168056,0.074534
CAN_BC,2019,0.346774,0.170249,0.075925
CAN_BC,2020,0.341528,0.174761,0.07649
CAN_BC,2021,0.350458,0.175889,0.077148
CAN_BC,2022,0.371337,0.177078,0.07758
CAN_BC,2023,0.37632,0.179021,0.078363
CAN_BC,2024,0.390748,0.179405,0.077959
CAN_MB,2007,0.148024,0.174238,0.084306
CAN_MB,2008,0.151624,0.171945,0.08385
CAN_MB,2009,0.150851,0.171136,0.083567
CAN_MB,2010,0.156605,0.169564,0.082617
CAN_MB,2011,0.164037,0.168313,0.08365
CAN_MB,2012,0.163935,0.168497,0.084494
CAN_MB,2013,0.171804,0.169985,0.085913
CAN_MB,2014,0.185053,0.172141,0.087217
CAN_MB,2015,0.195103,0.173584,0.088855
CAN_MB,2016,0.20549,0.176793,0.089369
CAN_MB,2017,0.207276,0.179845,0.088651
CAN_MB,2018,0.204819,0.182385,0.087883
CAN_MB,2019,0.209399,0.184528,0.087184
CAN_MB,2020,0.209835,0.186745,0.086108
CAN_MB,2021,0.206552,0.186216,0.085241
CAN_MB,2022,0.21445,0.184203,0.084904
CAN_MB,2023,0.218113,0.183861,0.084763
CAN_MB,2024,0.213941,0.182284,0.084483
CAN_NB,2007,0.157285,0.168501,0.090923
CAN_NB,2008,0.162786,0.163932,0.090622
CAN_NB,2009,0.159539,0.161963,0.090222
CAN_NB,2010,0.171121,0.158834,0.088123
CAN_NB,2011,0.17385,0.155968,0.087063
CAN_NB,2012,0.173614,0.154874,0.087118
CAN_NB,2013,0.175858,0.157656,0.08623
CAN_NB,2014,0.197129,0.160212,0.086808
CAN_NB,2015,0.215344,0.163134,0.089143
CAN_NB,2016,0.227793,0.166344,0.091754
CAN_NB,2017,0.232957,0.169049,0.094185
CAN_NB,2018,0.239901,0.17143,0.096679
CAN_NB,2019,0.248005,0.172811,0.099038
CAN_NB,2020,0.273065,0.175817,0.100946
CAN_NB,2021,0.307467,0.176319,0.103361
